0,123,1
0,926,1
678,861,2
730,851,1
0,25310,1
0,146,16
75,144,0
146,267,10
227,265,0
267,505,5
433,436,0
297,399,5
386,398,0
505,607,8
573,577,0
578,582,5
598,606,5
607,853,2
702,852,0
853,3184,1
879,942,1
919,933,0
942,1039,1
992,1030,10
1039,1186,1
1160,1185,0
1186,1683,0
1683,1959,1
1801,1847,10
1878,1958,10
1959,2293,0
2293,2339,0
2339,2468,0
2468,2815,1
2518,2814,10
2712,2752,0
2802,2807,0
3217,3260,0
3271,4053,0
4108,4388,0
4390,4759,1
4517,4757,0
4810,4883,0
4935,5309,0
5505,5725,0
5799,5929,0
5972,6104,0
6133,6171,0
6183,6524,0
6536,6790,1
6568,6668,0
6676,6789,0
6813,7636,1
6824,6959,0
6973,7016,0
7025,7572,0
7577,7602,0
7609,7634,0
7688,7765,5
7745,7756,0
7756,7764,0
7770,7854,3
7834,7845,0
7845,7853,0
7862,7945,1
7925,7936,0
7936,7944,0
7947,8043,1
7976,8041,0
8048,9102,1
8085,8452,1
8181,8192,256
8208,8260,256
8264,8444,3
8361,8423,260
8452,8615,1
8508,8573,0
8589,8590,0
8606,8610,0
8615,8765,3
8668,8711,947
8727,8756,290
8765,8792,3886
8805,9053,1
8845,8850,0
8870,8901,0
8943,9050,1
9019,9036,2
9121,10960,1
9404,9439,256
10723,10729,0
10803,10851,0
9192,9370,0
9376,9388,0
9516,9599,0
9624,9915,1
9763,9858,0
9874,9897,8
9925,10367,0
10376,10582,0
10597,10672,0
10751,10802,0
10803,10851,0
10861,10958,0
10977,12386,1
11935,11936,0
12157,12174,0
12180,12199,0
10991,11341,1
11108,11134,3
11004,11066,7
11341,11402,1
11402,11558,1
11515,11532,0
11533,11553,0
11558,11864,1
11752,11755,0
12408,15356,1
13733,15355,0
12435,12566,0
12566,12640,0
12640,12701,0
12701,13056,0
13056,13297,0
13297,13634,0
15398,19364,1
15412,15527,0
15527,15655,0
15655,16344,0
16344,16621,0
16621,17474,0
17474,17681,0
17681,17949,0
18230,18273,0
18286,18354,0
18375,18408,0
18429,18570,0
18597,18620,0
18631,18755,0
18765,18825,0
18832,18861,0
18895,19294,0
19366,19620,1
19496,19512,0
19537,19613,0
19658,22971,1
19682,19730,3
19730,19963,1
19963,20146,1
20146,20294,1
20294,20398,1
20374,20378,0
20398,20503,0
20503,20860,0
20860,21099,1
20928,20934,0
20935,20953,0
21099,21327,0
21327,21625,0
21625,21998,1
21714,21997,0
22010,22451,1
22167,22189,12
22465,22848,1
22588,22597,0
22693,22795,0
22815,22846,0
22862,22954,1
23028,23040,0
23044,23657,1
23055,23336,0
23336,23496,1
23428,23487,12
23640,23655,0
23660,25272,1
24857,24912,0
24913,24915,0
24921,24969,0
24969,25271,0
23678,23741,0
23741,23809,0
23809,23935,0
23935,24051,0
24051,24663,0
24663,24763,0
25096,25262,0
0,637,1
1,634,1
37,632,1
48,175,1
81,84,0
175,483,1
483,532,0
608,630,0
